DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare
2020-08-11,15:00:00,47550,20200805475365,2QFinancialStatements_Consolidated_IFRS,2Q,2020-01-01,2020-06-30,2020-01-01,2020-12-31,,,678768000000,-20721000000,,-27485000000,-20.24,-20.24,10433257000000,723563000000,0.067,,,,,2296367000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,false,,1434573900,75187638,1357722688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,15:00:00,47550,20201106417425,3QFinancialStatements_Consolidated_IFRS,3Q,2020-01-01,2020-09-30,2020-01-01,2020-12-31,,,1040190000000,-60519000000,,-71471000000,-52.6,-52.6,10953840000000,679170000000,0.06,,,,,2577185000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,false,,1434573900,73300938,1358634094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,15:00:00,47550,20210205456920,FYFinancialStatements_Consolidated_IFRS,FY,2020-01-01,2020-12-31,2020-01-01,2020-12-31,2021-01-01,2021-12-31,1455538000000,-93849000000,,-114199000000,-84.0,-84.0,12524438000000,629014000000,0.049,446.78,1041391000000,-303347000000,808108000000,3021306000000,,0.0,,4.5,4.5,,6131000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,false,,1434573900,72073137,1359477579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-13,15:00:00,47550,20210507407432,1QFinancialStatements_Consolidated_IFRS,1Q,2021-01-01,2021-03-31,2021-01-01,2021-12-31,,,391513000000,-37340000000,,-25143000000,-18.37,-18.37,13495164000000,882906000000,0.064,,,,,3230287000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1575770100,87,1368993556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-11,15:00:00,47550,20210806481709,2QFinancialStatements_Consolidated_IFRS,2Q,2021-01-01,2021-06-30,2021-01-01,2021-12-31,,,793671000000,-100889000000,,-65438000000,-44.4,-44.4,14497695000000,1167099000000,0.079,,,,,3698638000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1578303400,87,1473733763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-11,15:00:00,47550,20211105426644,3QFinancialStatements_Consolidated_IFRS,3Q,2021-01-01,2021-09-30,2021-01-01,2021-12-31,,,1200574000000,-108362000000,,-92262000000,-61.13,-61.13,15439566000000,1141217000000,0.072,,,,,3841704000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,true,,1580325500,132,1509336077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-14,15:00:00,47550,20220209585195,FYFinancialStatements_Consolidated_IFRS,FY,2021-01-01,2021-12-31,2021-01-01,2021-12-31,2022-01-01,2022-12-31,1681757000000,-194726000000,,-133828000000,-87.62,-87.62,16831221000000,1117290000000,0.065,691.47,582707000000,-611830000000,1402265000000,4410301000000,,0.0,,4.5,4.5,,7118000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,true,,1581735100,234,1527424886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-13,15:00:00,47550,20220512544446,1QFinancialStatements_Consolidated_IFRS,1Q,2022-01-01,2022-03-31,2022-01-01,2022-12-31,,,437127000000,-112604000000,,-91412000000,-57.76,-57.76,17985733000000,1054268000000,0.057,,,,,4333040000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1583665300,244,1582629844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-10,15:00:00,47550,20220728506432,2QFinancialStatements_Consolidated_IFRS,2Q,2022-01-01,2022-06-30,2022-01-01,2022-12-31,,,893598000000,-197075000000,,-176617000000,-111.47,-111.47,18705257000000,1046941000000,0.055,,,,,4396577000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1587486000,244,1584396767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-11,15:00:00,47550,20221110562732,3QFinancialStatements_Consolidated_IFRS,3Q,2022-01-01,2022-09-30,2022-01-01,2022-12-31,,,1364708000000,-287093000000,,-258090000000,-162.76,-162.76,19745910000000,1011769000000,0.05,,,,,4571165000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1589048300,244,1585712591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
