Year/Month,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,No. of cos.,Average_PER(times),Average_PBR(times),"Average_Earnings
Per Share(Yen)","Average_Net Assets
Per Share(Yen)","Weighted average_
PER(times)","Weighted average_
PBR(times)","Weighted average_
Earnings(￥)","Weighted average_
Net Assets(￥)"
2024/01,プライム市場,Prime,総合,Composite,1648.0,17.0,1.3,175.24,2213.59,18.6,1.5,48598712784402.0,616098256571771.0
2024/01,プライム市場,Prime,総合（金融業を除く）,Non-Financial,1533.0,17.5,1.4,173.94,2111.25,19.0,1.6,42712916882922.0,507342577668771.0
2024/01,プライム市場,Prime,　　　　　 製造業,　　　　 Manufacturing ,715.0,18.2,1.3,186.21,2526.56,20.5,1.7,23589741679907.0,290476005016044.0
2024/01,プライム市場,Prime,　　　　 非製造業,　　　　 Non-Manufacturing ,818.0,16.7,1.6,163.22,1748.24,17.2,1.5,19123175203015.0,216866572652727.0
2024/01,プライム市場,Prime,1 水産・農林業,"1 Fishery,Agriculture & Forestry",6.0,12.5,1.0,188.9,2317.73,13.2,1.1,54244000000.0,679567000000.0
2024/01,プライム市場,Prime,2 鉱業,2 Mining,5.0,4.6,0.7,813.92,5411.66,6.2,0.7,543193000000.0,4777927000000.0
2024/01,プライム市場,Prime,3 建設業,3 Construction,75.0,16.7,1.1,151.88,2325.62,13.8,1.2,1403714000000.0,16661961978000.0
2024/01,プライム市場,Prime,4 食料品,4 Foods,68.0,26.4,1.4,113.52,2154.9,23.4,1.8,1413350000000.0,18442239739064.0
2024/01,プライム市場,Prime,5 繊維製品,5 Textiles & Apparels,21.0,21.3,1.0,118.89,2487.02,24.7,0.9,140710709440.0,3754443709440.0
2024/01,プライム市場,Prime,6 パルプ・紙,6 Pulp & Paper,10.0,33.1,0.6,53.79,2743.67,104.7,0.7,16040000000.0,2584444000000.0
2024/01,プライム市場,Prime,7 化学,7 Chemicals,123.0,16.1,1.1,176.94,2483.57,20.0,1.5,2636289666667.0,34033921000000.0
2024/01,プライム市場,Prime,8 医薬品,8 Pharmaceutical,34.0,22.2,1.4,132.34,2103.22,27.9,2.1,1508946000000.0,19666383000000.0
2024/01,プライム市場,Prime,9 石油・石炭製品,9 Oil & Coal Products,6.0,8.6,0.8,204.52,2178.23,7.9,0.6,474131000000.0,5778671000000.0
