国債金利情報 (令和7年6月),,,,,,,,,,,,,,,(単位 : %)
基準日,1年,2年,3年,4年,5年,6年,7年,8年,9年,10年,15年,20年,25年,30年,40年
R6.1.4,-0.025,0.05,0.057,0.132,0.23,0.261,0.352,0.468,0.557,0.649,1.084,1.401,1.574,1.666,1.801
R6.1.5,-0.045,0.035,0.044,0.117,0.217,0.251,0.344,0.459,0.547,0.634,1.067,1.383,1.551,1.64,1.773
R6.1.9,-0.055,0.025,0.033,0.108,0.207,0.243,0.335,0.445,0.53,0.614,1.044,1.365,1.536,1.626,1.763
R6.1.10,-0.055,0.025,0.033,0.108,0.214,0.247,0.34,0.449,0.533,0.621,1.04,1.36,1.529,1.618,1.75
R6.1.11,-0.075,0.015,0.018,0.098,0.202,0.232,0.321,0.431,0.518,0.605,1.023,1.341,1.52,1.615,1.744
R6.1.12,-0.085,0.005,0.014,0.094,0.196,0.222,0.31,0.412,0.505,0.591,1.015,1.336,1.513,1.61,1.745
R6.1.15,-0.085,-0.001,0.007,0.084,0.175,0.203,0.286,0.387,0.477,0.563,0.983,1.305,1.483,1.58,1.715
R6.1.16,-0.065,0.02,0.024,0.099,0.203,0.226,0.32,0.417,0.506,0.596,1.01,1.329,1.501,1.597,1.735
R6.1.17,-0.065,0.025,0.024,0.105,0.21,0.231,0.328,0.432,0.521,0.612,1.024,1.339,1.516,1.619,1.767
R6.1.18,-0.065,0.036,0.035,0.127,0.249,0.273,0.378,0.481,0.57,0.656,1.092,1.42,1.592,1.699,1.849
R6.1.19,-0.065,0.031,0.035,0.127,0.256,0.279,0.38,0.491,0.582,0.671,1.12,1.454,1.632,1.745,1.907
R6.1.22,-0.065,0.025,0.029,0.125,0.245,0.26,0.363,0.473,0.563,0.657,1.1,1.439,1.625,1.741,1.904
R6.1.23,-0.065,0.025,0.029,0.12,0.239,0.256,0.354,0.463,0.552,0.643,1.076,1.413,1.599,1.712,1.862
R6.1.24,-0.028,0.07,0.077,0.185,0.316,0.335,0.435,0.545,0.634,0.721,1.162,1.492,1.671,1.775,1.928
R6.1.25,-0.035,0.067,0.083,0.2,0.332,0.355,0.456,0.57,0.659,0.75,1.205,1.532,1.701,1.795,1.943
R6.1.26,-0.045,0.052,0.068,0.175,0.3,0.321,0.418,0.535,0.627,0.721,1.166,1.506,1.682,1.782,1.924
R6.1.29,-0.045,0.063,0.077,0.182,0.308,0.331,0.428,0.542,0.634,0.727,1.183,1.524,1.698,1.799,1.932
R6.1.30,-0.045,0.074,0.071,0.179,0.291,0.316,0.41,0.523,0.615,0.714,1.162,1.498,1.681,1.774,1.906
